umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000008141,459752.4945882353,785372.3152941178,629193.9335294118,32253.160588235292,16591.064470588237,2993.9117647058824,33187.47529411765,36579.83470588234,11794.56494117647,26083.550117647053,26578.230000000007,20922.44011764706,48447.5985882353,43691.664,39140.90823529412,25220.695411764707,23069.965411764708,10254.50294117647,24752.61,12985.427999999998,11857.983529411764,13346.906470588236,0.5853943227118471,0.7307007745756405,0.26929922542435947
PO1000008143,265302.6197647058,776579.1903529413,525194.4345882355,3311.9611764705887,5031.95611764706,3997.488,7634.267647058823,6555.311999999997,13886.04105882353,21571.739647058825,12238.352117647057,20809.335882352938,11749.24305882353,9704.091882352941,33725.603294117645,9758.516823529413,14539.623882352944,17211.50011764706,23024.90082352941,21122.296588235295,13342.856117647056,16087.533529411761,0.3416298338410672,0.5051512397931429,0.4948487602068571
PO1000008145,152432.33541176474,780495.6914117648,480982.8458823529,2125.075764705882,2145.2008235294115,4024.6641176470584,5993.961176470588,2833.374705882353,7047.572470588236,4792.913294117647,4139.707764705881,14632.492235294114,6402.659647058824,8888.003647058824,19132.098352941175,8494.311529411765,17385.560470588236,13812.63705882353,11916.110470588235,4472.373176470587,5944.279764705882,8249.33894117647,0.19530195629401145,0.31691844463211744,0.6830815553678826
PO1000008146,313476.32294117654,787206.9194117646,609238.6944705884,16757.71023529412,12999.546705882354,4346.869411764706,21547.082117647056,30799.964823529404,15210.078705882352,9420.403411764704,10668.348352941177,30268.005882352936,21826.04294117647,19606.536,18891.13376470588,13903.613294117647,15104.35411764706,10950.640941176469,16259.165647058822,17025.84988235294,14350.377176470587,13540.599529411764,0.3982133733979622,0.5145377760576728,0.4854622239423272
PO1000008147,190634.718,691141.95,625642.2592941177,4113.114352941176,5459.132117647059,3616.134,6442.87905882353,8142.299647058825,11800.335882352942,3657.427411764706,3277.018588235294,10171.876588235295,4215.941294117647,11952.68364705882,11179.169647058825,8665.16894117647,14348.794941176475,22533.683999999997,21603.694588235292,9474.009882352937,13455.998117647056,16525.355294117646,0.2758257084525111,0.30470243204972125,0.6952975679502787
PO1000008148,287020.7583529412,778265.3848235293,669331.9341176471,7271.372823529411,7022.387294117646,4478.355176470589,7592.288470588235,6893.779058823528,9027.310588235292,10345.566352941176,23906.385529411764,20544.882,16716.358235294112,18981.82905882353,32136.128117647062,13715.741294117644,19383.493411764706,19816.927411764707,29327.99752941176,14092.53705882353,15943.536705882354,9823.882235294117,0.36879548281338864,0.4288167704583062,0.5711832295416939
PO1000008149,155577.4708235294,782072.640352941,489555.62364705885,2209.3069411764704,2252.2362352941177,3738.9296470588224,6184.72588235294,2755.806705882353,7137.920117647059,4862.3989411764705,4180.175294117646,14998.014,6437.2577647058815,8888.356588235294,19145.016,8127.644117647059,18239.37988235294,14298.329294117648,12141.790941176469,4731.5643529411755,6439.970470588234,8808.647647058824,0.1989296937344835,0.31779324617807214,0.6822067538219279
PO1000008151,187722.26717647057,688865.9382352941,624253.0789411764,4282.365529411764,5663.4839999999995,3493.177411764706,6654.256235294118,8176.263882352942,12207.567529411765,3735.9261176470586,3349.7964705882346,10249.014352941178,4171.864588235294,11225.133529411763,9758.626588235291,8105.264117647059,13490.123647058825,22199.49847058823,22160.10670588235,9133.16294117647,13318.086352941176,16348.548705882351,0.2725091440249885,0.3007150040731472,0.6992849959268528
PO1000008152,233420.31176470584,786757.780235294,690063.124235294,7035.1972941176455,10330.54094117647,4315.850470588235,13772.58388235294,11945.658,10961.006823529413,6167.9047058823535,8806.844470588234,12488.387999999997,11845.64294117647,14901.292588235296,12384.828352941176,14605.74388235294,18032.350588235295,11585.428588235296,17167.891411764704,17698.401529411763,14050.833882352941,15323.923411764701,0.29668637238629825,0.33825936145099017,0.6617406385490099
PO1000008153,185691.03176470587,695127.8301176472,632441.8803529411,4245.089999999999,5759.355529411765,3420.0575294117643,6643.08,8346.438352941177,12374.766705882352,3713.755764705882,3295.6076470588237,10311.872470588236,3915.7612941176467,10476.856235294117,8888.011058823531,7915.1414117647055,13520.42682352941,22215.225176470587,22607.313529411764,8803.818000000001,12963.745764705882,16274.708470588235,0.2671322075153839,0.2936096383450744,0.7063903616549256
PO1000008154,310559.90470588236,672687.1750588237,565338.1736470589,7671.511764705883,9969.821647058823,4048.078235294118,19166.986235294116,32874.58588235294,16533.06529411765,13998.847764705883,7708.034823529411,33904.47494117647,29951.030470588234,18884.973176470587,24242.951294117644,13861.01294117647,17559.938117647056,9906.45705882353,13370.319176470586,14009.555647058822,10882.770352941176,12015.489882352942,0.46167061930194403,0.5493347507429512,0.45066524925704876
PO1000008155,470588.66717647057,785241.1651764706,644458.3097647057,35805.70094117647,21159.397764705882,2664.925764705882,36293.27011764706,37076.661529411766,9726.861529411763,25539.144352941174,25400.43670588235,19536.464470588242,48186.693176470595,44121.91235294119,40287.32505882353,26710.82047058823,24488.388352941172,9166.337647058821,24298.088470588234,12950.552117647057,12981.437647058821,14194.248705882352,0.5992918966120595,0.7302080833565237,0.26979191664347635
PO1000008156,163168.22964705882,775651.1827058821,491667.0388235294,1772.2168235294116,2122.5575294117643,4461.470470588235,7975.001647058823,3170.7148235294117,5403.240352941177,5527.325999999999,7346.76,13513.979999999998,5952.409058823529,8396.729647058823,19987.15905882353,10621.024235294115,16579.610117647062,16618.72482352941,16181.263411764703,4415.776588235294,4625.313176470589,8496.951882352942,0.2103628967312879,0.3318673345227514,0.6681326654772486
PO1000008158,122986.28576470586,633696.0998823529,545466.2834117647,3770.742705882353,2973.919411764706,1470.648,6991.289294117647,5621.906823529412,5005.417764705883,5832.559764705881,6979.495411764707,11835.12494117647,4337.691176470587,11332.154470588235,5916.784235294118,5582.821764705882,8216.068588235294,4232.806941176471,7890.075529411764,8152.463647058823,9164.758588235292,7679.5567058823535,0.19407770662867982,0.22547000521362248,0.7745299947863775
PO1000008159,265688.6618823529,778409.4744705878,698554.2769411763,6740.277529411765,11710.193999999996,4248.260823529411,10345.03905882353,9624.62788235294,7536.422117647059,10947.137999999999,19858.432588235293,23360.826352941178,9530.717294117645,21586.801764705884,16831.541999999998,14121.628235294118,17271.27176470588,13529.47694117647,22778.774823529413,19868.199529411766,13028.354470588232,12770.676705882352,0.3413224923335539,0.38034075611955054,0.6196592438804495
PO1000008160,292487.6809411765,785259.0130588238,687708.2742352942,1517.5309411764706,4458.120705882354,828.2170588235294,3719.0124705882354,5001.194470588235,17933.333999999995,21934.741411764706,21991.848352941175,26654.582470588233,18684.739411764705,19958.776588235294,21685.368705882353,10998.333176470589,17207.828117647063,13332.621176470588,47165.82352941177,12386.479411764705,13426.135058823531,13602.993882352941,0.37247287337950774,0.42530778223718746,0.5746922177628125
